,Variable Name,description
0,UNITID,"AcadYr 2018-19, reported in IPEDS DCY2018-19"
1,OPEID,"AcadYr 2018-19, reported in IPEDS DCY2018-19"
2,OPEID6,"AcadYr 2018-19, reported in IPEDS DCY2018-19"
3,INSTNM,"AcadYr 2018-19, reported in IPEDS DCY2018-19, unless more recent data are available. Then the most recent data reported to IPEDS (through AcadYr 2022-23, at latest) are included."
4,CITY,"AcadYr 2018-19, reported in IPEDS DCY2018-19, unless more recent data are available. Then the most recent data reported to IPEDS (through AcadYr 2022-23, at latest) are included."
5,STABBR,"AcadYr 2018-19, reported in IPEDS DCY2018-19, unless more recent data are available. Then the most recent data reported to IPEDS (through AcadYr 2022-23, at latest) are included."
6,ZIP,"AcadYr 2018-19, reported in IPEDS DCY2018-19, unless more recent data are available. Then the most recent data reported to IPEDS (through AcadYr 2022-23, at latest) are included."
7,ACCREDAGENCY,
8,INSTURL,
9,NPCURL,
10,SCH_DEG,AY 2015-16
11,HCM2,
12,MAIN,"AcadYr 2018-19, reported in IPEDS DCY2018-19"
13,NUMBRANCH,"AcadYr 2018-19, reported in IPEDS DCY2018-19"
14,PREDDEG,"AY2017-18, reported in IPEDS DCY2018-19"
15,HIGHDEG,"AY2017-18, reported in IPEDS DCY2018-19"
16,CONTROL,"AcadYr 2018-19, reported in IPEDS DCY2018-19"
17,ST_FIPS,"AcadYr 2018-19, reported in IPEDS DCY2018-19, unless more recent data are available. Then the most recent data reported to IPEDS (through AcadYr 2022-23, at latest) are included."
18,REGION,"AcadYr 2018-19, reported in IPEDS DCY2018-19, unless more recent data are available. Then the most recent data reported to IPEDS (through AcadYr 2022-23, at latest) are included."
19,LOCALE,
20,LOCALE2,
21,LATITUDE,
22,LONGITUDE,
23,CCBASIC,
24,CCUGPROF,
25,CCSIZSET,
26,HBCU,
27,PBI,
28,ANNHI,
29,TRIBAL,
30,AANAPII,
31,HSI,
32,NANTI,
33,MENONLY,
34,WOMENONLY,
35,RELAFFIL,
36,ADM_RATE,"Fall 2018, reported in IPEDS DCY2018-19"
37,ADM_RATE_ALL,"Fall 2018, reported in IPEDS DCY2018-19"
38,SATVR25,"Fall 2018, reported in IPEDS DCY2018-19"
39,SATVR75,"Fall 2018, reported in IPEDS DCY2018-19"
40,SATMT25,"Fall 2018, reported in IPEDS DCY2018-19"
41,SATMT75,"Fall 2018, reported in IPEDS DCY2018-19"
42,SATWR25,
43,SATWR75,
44,SATVRMID,"Fall 2018, reported in IPEDS DCY2018-19"
45,SATMTMID,"Fall 2018, reported in IPEDS DCY2018-19"
46,SATWRMID,
47,ACTCM25,"Fall 2018, reported in IPEDS DCY2018-19"
48,ACTCM75,"Fall 2018, reported in IPEDS DCY2018-19"
49,ACTEN25,"Fall 2018, reported in IPEDS DCY2018-19"
50,ACTEN75,"Fall 2018, reported in IPEDS DCY2018-19"
51,ACTMT25,"Fall 2018, reported in IPEDS DCY2018-19"
52,ACTMT75,"Fall 2018, reported in IPEDS DCY2018-19"
53,ACTWR25,
54,ACTWR75,
55,ACTCMMID,"Fall 2018, reported in IPEDS DCY2018-19"
56,ACTENMID,"Fall 2018, reported in IPEDS DCY2018-19"
57,ACTMTMID,"Fall 2018, reported in IPEDS DCY2018-19"
58,ACTWRMID,
59,SAT_AVG,"Fall 2018, reported in IPEDS DCY2018-19"
60,SAT_AVG_ALL,"Fall 2018, reported in IPEDS DCY2018-19"
61,PCIP01,"AY2017-18, reported in IPEDS DCY2018-19. Based on the CIP2010 codes."
62,PCIP03,"AY2017-18, reported in IPEDS DCY2018-19. Based on the CIP2010 codes."
63,PCIP04,"AY2017-18, reported in IPEDS DCY2018-19. Based on the CIP2010 codes."
64,PCIP05,"AY2017-18, reported in IPEDS DCY2018-19. Based on the CIP2010 codes."
65,PCIP09,"AY2017-18, reported in IPEDS DCY2018-19. Based on the CIP2010 codes."
66,PCIP10,"AY2017-18, reported in IPEDS DCY2018-19. Based on the CIP2010 codes."
67,PCIP11,"AY2017-18, reported in IPEDS DCY2018-19. Based on the CIP2010 codes."
68,PCIP12,"AY2017-18, reported in IPEDS DCY2018-19. Based on the CIP2010 codes."
69,PCIP13,"AY2017-18, reported in IPEDS DCY2018-19. Based on the CIP2010 codes."
70,PCIP14,"AY2017-18, reported in IPEDS DCY2018-19. Based on the CIP2010 codes."
