RANK,INSTNM,NPT41_PUB,NPT42_PUB,NPT43_PUB,NPT44_PUB,NPT45_PUB,NPT41_PRIV,NPT42_PRIV,NPT43_PRIV,NPT44_PRIV,NPT45_PRIV,NPT41_PROG,NPT42_PROG,NPT43_PROG,NPT44_PROG,NPT45_PROG,NPT41_OTHER,NPT42_OTHER,NPT43_OTHER,NPT44_OTHER,NPT45_OTHER,NPT4_048_PUB,NPT4_048_PRIV,NPT4_048_PROG,NPT4_048_OTHER,NPT4_3075_PUB,NPT4_3075_PRIV,NPT4_75UP_PUB,NPT4_75UP_PRIV,NPT4_3075_PROG,NPT4_3075_OTHER,NPT4_75UP_PROG,NPT4_75UP_OTHER,COSTT4_A,COSTT4_P,TUITIONFEE_IN,TUITIONFEE_OUT,TUITIONFEE_PROG,GRAD_DEBT_MDN,LO_INC_DEBT_MDN,MD_INC_DEBT_MDN,HI_INC_DEBT_MDN,COUNT_NWNE_3YR,COUNT_WNE_3YR,CNTOVER150_3YR,DBRR4_FED_UG_DEN,DBRR4_FED_UG_RT,DBRR5_FED_UG_NUM,DBRR5_FED_UG_DEN,DBRR10_FED_UG_NUM,DBRR10_FED_UG_DEN,DBRR20_FED_UG_NUM,DBRR20_FED_UG_DEN,DBRR1_FED_UGCOMP_NUM,DBRR1_FED_UGCOMP_DEN,BBRR1_FED_UGCOMP_MAKEPROG,BBRR1_FED_UGCOMP_PAIDINFULL,BBRR2_FED_UGCOMP_MAKEPROG,BBRR2_FED_UGCOMP_PAIDINFULL,MDCOST_ALL,MDEARN_PD,MD_EARN_WNE_1YR,MD_EARN_WNE_4YR,MDEARN_PD,MD_EARN_WNE_1YR,MD_EARN_WNE_4YR
0,Harvard University,,,,,,2973.0,1010.0,3411.0,15553.0,46160.0,,,,,,,,,,,,1864.0,,,,2288.0,,38401.0,,,,,73485.0,,51925.0,51925.0,,12665,12500,12500,11442,,,,,,6306410,7342799,4196234,6400094,4649942,22253764,3816106,4234187,0.30-0.34,0.15-0.19,0.30-0.34,0.20-0.24,,,86549.0,104267.0,,86549.0,104267.0
1,Stanford University,,,,,,-1387.0,1145.0,1959.0,10631.0,45693.0,,,,,,,,,,,,58.0,,,,1534.0,,37532.0,,,,,71587.0,,53529.0,53529.0,,12000,6600,7339,12556,,,,,,4323837,8626103,1909601,6461771,2432253,15067545,4817005,6155327,0.35-0.39,0.25-0.29,0.35-0.39,0.30-0.34,,,77677.0,109840.0,,77677.0,109840.0
2,Massachusetts Institute of Technology,,,,,,4535.0,1820.0,6049.0,14381.0,38934.0,,,,,,,,,,,,2995.0,,,,4173.0,,31822.0,,,,,70240.0,,53790.0,53790.0,,13418,7500,7750,13500,,,,,,2957091,8042642,1086116,6775494,1678207,16099739,4060250,6282860,0.30-0.34,0.40-0.44,0.35-0.39,0.45-0.49,,,102988.0,129392.0,,102988.0,129392.0
5,"University of California, Berkeley",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,Princeton University,,,,,,1386.0,2044.0,7576.0,16989.0,36747.0,,,,,,,,,,,,1660.0,,,,5195.0,,30424.0,,,,,70900.0,,52800.0,52800.0,,10450,4558,4900,11950,,,,,,1017305,2063888,325195,1601368,401445,8989162,1695765,2047959,0.30-0.39,0.20-0.29,0.40-0.49,0.20-0.29,,,64287.0,93603.0,,64287.0,93603.0
7,Columbia University,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,California Institute of Technology,,,,,,5456.0,3756.0,8042.0,12788.0,48851.0,,,,,,,,,,,,4404.0,,,,5389.0,,40365.0,,,,,72084.0,,54600.0,54600.0,,17747,PS,PS,PS,,,,,,217546,581726,40692,453423,34035,483270,247991,465752,PS,PS,PS,PS,,,86037.0,139418.0,,86037.0,139418.0
9,University of Chicago,,,,,,2712.0,2800.0,7934.0,17929.0,43156.0,,,,,,,,,,,,2754.0,,,,6004.0,,37410.0,,,,,78555.0,,60552.0,60552.0,,14601,7500,11658,14408,,,,,,9137371,17049776,4376956,13585099,3049765,13871747,8725443,11556557,0.41-0.42,0.25-0.26,0.39-0.40,0.29-0.30,,,69111.0,90882.0,,69111.0,90882.0
10,Yale University,,,,,,2125.0,1647.0,2167.0,11492.0,43417.0,,,,,,,,,,,,1824.0,,,,1935.0,,35399.0,,,,,73900.0,,55500.0,55500.0,,13142,8450,7125,13013,,,,,,3873897,6424636,2562122,9987699,3544612,18436222,4450748,5234758,0.40-0.44,0.15-0.19,0.45-0.49,0.20-0.24,,,60511.0,85476.0,,60511.0,85476.0
12,University of Pennsylvania,,,,,,3181.0,4833.0,12752.0,20632.0,41421.0,,,,,,,,,,,,4153.0,,,,9077.0,,36195.0,,,,,75303.0,,57770.0,57770.0,,16763,12500,13419,15500,,,,,,21304724,40776776,7631802,29290288,8788818,43750160,18407106,21455124,0.38,0.18,0.40,0.23,,,76746.0,100577.0,,76746.0,100577.0
