,INSTNM,COSTT4_A,GRAD_DEBT_MDN,PCT75_EARN_WNE_P8,PCT25_EARN_WNE_P8,MD_EARN_WNE_P10,NationalRank
0,Harvard University,71135.0,13750,135753.0,45980.0,84918.0,1
1,Stanford University,69109.0,11750,166805.0,58448.0,97798.0,2
2,Massachusetts Institute of Technology,67430.0,12500,169114.0,75080.0,111222.0,3
3,University of California-Berkeley,36739.0,13478,117722.0,44547.0,80364.0,4
4,Princeton University,66950.0,10750,147835.0,56354.0,95689.0,5
5,California Institute of Technology,68901.0,11242,181259.0,48173.0,112166.0,6
6,University of Chicago,75735.0,16378,111040.0,42289.0,76730.0,7
7,Yale University,71290.0,13060,132539.0,47968.0,88655.0,8
8,University of Pennsylvania,72584.0,18250,146940.0,57474.0,103246.0,9
9,Cornell University,70301.0,14661,131398.0,55686.0,91176.0,10
10,University of California-Los Angeles,33654.0,15000,97998.0,41430.0,73744.0,11
11,Johns Hopkins University,69863.0,15500,109993.0,48949.0,83287.0,12
12,University of Michigan-Ann Arbor,29407.0,17500,99471.0,44194.0,75842.0,13
13,University of California-San Diego,31891.0,16500,98163.0,43633.0,74771.0,14
14,Northwestern University,72960.0,15500,109018.0,47680.0,80033.0,15
15,Duke University,72466.0,12582,126716.0,53443.0,93115.0,16
16,New York University,69830.0,20500,104215.0,38583.0,76040.0,17
17,University of Wisconsin-Madison,25497.0,20500,85857.0,42130.0,65213.0,18
18,University of North Carolina at Chapel Hill,25527.0,15400,84794.0,38992.0,61915.0,19
19,University of Minnesota-Twin Cities,26443.0,19500,79974.0,38824.0,61201.0,20
20,Washington University in St Louis,71975.0,16500,109645.0,48213.0,82732.0,21
21,Rutgers University-New Brunswick,29877.0,21769,85177.0,39703.0,65661.0,22
22,University of California-Davis,35252.0,13000,93674.0,41546.0,69766.0,23
23,University of Maryland-College Park,25919.0,19500,92521.0,45204.0,71837.0,24
24,University of Colorado Boulder,30178.0,19500,82172.0,35440.0,60740.0,25
25,University of Southern California,72097.0,19459,111655.0,46165.0,83426.0,26
26,University of Arizona,26712.0,20171,76918.0,32696.0,55205.0,27
27,Boston University,70216.0,25000,92815.0,45119.0,75642.0,28
28,Brown University,71050.0,15000,138247.0,47600.0,78943.0,29
29,University of California-Irvine,32985.0,15488,91778.0,40441.0,71961.0,30
30,University of Florida,21034.0,15867,86643.0,38733.0,64463.0,31
31,Vanderbilt University,67392.0,14962,110118.0,47265.0,79872.0,32
32,University of California-Santa Barbara,35987.0,15000,86173.0,38028.0,66491.0,33
33,Texas A & M University-College Station,28314.0,18445,87534.0,41079.0,66566.0,34
34,Emory University,66950.0,16500,101386.0,45285.0,72364.0,35
35,University of Utah,20422.0,18088,79622.0,33430.0,60590.0,36
36,Carnegie Mellon University,70060.0,23250,149884.0,55740.0,99998.0,37
37,University of Rochester,70108.0,19000,95509.0,40166.0,68335.0,38
38,University of California-Santa Cruz,35982.0,18408,79327.0,33452.0,58112.0,39
39,Dartmouth College,71827.0,15000,123499.0,41163.0,91627.0,40
40,Stony Brook University,24718.0,19000,84716.0,38429.0,66678.0,41
41,Rice University,63158.0,11989,111565.0,49187.0,77683.0,42
42,University of Colorado Denver/Anschutz Medical Campus,22243.0,21467,75592.0,33642.0,57987.0,43
43,University of Iowa,22607.0,22500,75006.0,37151.0,58274.0,44
44,Case Western Reserve University,67083.0,24192,95699.0,44544.0,78330.0,45
45,Indiana University-Bloomington,24326.0,19500,77548.0,35416.0,58814.0,46
46,Michigan State University,28194.0,24250,78370.0,37561.0,61101.0,47
47,Tufts University,70567.0,16900,100458.0,36147.0,67122.0,48
48,University of Notre Dame,69395.0,19000,116194.0,57082.0,88962.0,49
49,Iowa State University,20476.0,22635,73536.0,36929.0,57351.0,50
50,University of Georgia,26252.0,18750,80529.0,37587.0,59769.0,51
51,University of Massachusetts-Amherst,30013.0,23250,84133.0,37043.0,62048.0,52
52,University of Missouri-Columbia,26259.0,21500,73580.0,36086.0,56986.0,53
53,University of Alabama at Birmingham,24347.0,22500,63552.0,28738.0,46990.0,54
54,University of Connecticut,30687.0,22000,88937.0,43235.0,72460.0,55
55,Yeshiva University,60525.0,19500,94133.0,33022.0,64628.0,56
56,University of Miami,65298.0,17125,90590.0,39480.0,67362.0,57
57,University of Kansas,24996.0,21375,72233.0,33908.0,56386.0,58
58,Indiana University-Purdue University-Indianapolis,20704.0,21458,64275.0,30405.0,47542.0,59
